German,English
automatisch,automatically
Bahnsteig,platform
bar,in cash
billig,cheap
deutlich,clear
eigentlich,actually
eilig,hurried
endlich,finally / at last
fantastisch,fantastic
Fisch,fish
Fleisch,meat
fleißig,diligent / busy / hard-working
furchtbar,awful
frei,free
freiwillig,voluntary
freundlich,friendly
gefährlich,dangerous
frisch,fresh
glücklich,happy
günstig,Cheap
herzlich,warmly
hässlich,ugly
hoffentlich,hopefully
komisch,funny
Landschaft,landscape
langweilig,boring
lustig,funny
männlich,male
Mannschaft,team
Nachbar,male neighbor
natürlich,natural / of course / certainly
neblig,foggy
möglich,possible
notwendig,necessary
nützlich,useful
pünktlich,on time
plötzlich,suddenly
praktisch,practically
schädlich,harmful
richtig,correct
romantisch,romantic
ruhig,calm
schwierig,difficult
schmutzig,dirty
schrecklich,awful / dreadful
schriftlich,written / in written form
sportlich,athletic
sonnig,sunny
stressig,stressful
Tisch,table
sympathisch,likeable / friendly
traurig,sad
typisch,typical
vorsichtig,careful
wahrscheinlich,probably
wichtig,important
weiblich,female
windig,windy
wirklich,for real
witzig,funny
wenig,little
wunderbar,wonderful

